"latin_binomial"	"common_name"
Taraxacum officinale	Lion's-tooth
Thymus vulgaris	Common thyme
Thymus vulgaris	Conehead thyme
Thymus vulgaris	English thyme
Thymus vulgaris	French thyme
Thymus vulgaris	Garden thyme
Thymus vulgaris	Thyme
Tillandsia usneoides	Spanishmoss
Trametes versicolor	Kawaratake
Trametes versicolor	Turkey Tail
Trametes versicolor	Yunzhi
Tribulus terrestris	Caltrop
Tribulus terrestris	Cat's-head
Tribulus terrestris	Common dubbletjie
Tribulus terrestris	Devil's-thorn
Tribulus terrestris	Devil's-weed
Tribulus terrestris	Goathead
Tribulus terrestris	Gokshura
Tribulus terrestris	Goksura
Tribulus terrestris	Ji li
Tribulus terrestris	Puncturevine
Tribulus terrestris	Puncturevine caltrop
Tribulus terrestris	Tribulus
Trigonella foenum	Common fenugreek
Trigonella foenum	Fenugreek
Trigonella foenum	Greek-clover
Trigonella foenum	Greek hay
Trigonella foenum	Hu lu ba
Triticum aestivum	Bread wheat
Triticum aestivum	Wheat
Triticum aestivum	Xiao mai
Turnera diffusa	Damiana
Tussilago farfara	Coltsfoot
Tussilago farfara	Common coltsfoot
Tussilago farfara	Kuan dong
Tussilago farfara	Kuandonghua
Ulmus minor	Europeanfieldelm
Ulmus rubra	Red elm
Ulmus rubra	Slippery elm
Uncaria tomentosa	Cat's-claw
Urena lobata	Di Tao Hua
Urena lobata	Xiao Fan Tian Hua
Urtica dioica	Common nettle
Urtica dioica	European nettle
Urtica dioica	Greater nettle
Urtica dioica	Nettle
Urtica dioica	Stinging nettle
Urtica dioica	Yi zhu qian ma
Vaccinium myrsinites	Shinyblueberry
Valeriana officinalis	Common valerian
Valeriana officinalis	Garden-heliotrope
Valeriana officinalis	Garden valerian
Valeriana officinalis	Valerian
Verbascum thapsus	Aaron's-rod
Verbascum thapsus	Common mullein
Verbascum thapsus	Flannelleaf
Verbascum thapsus	Flannelplant
Verbascum thapsus	Great mullein
Verbascum thapsus	Hag taper
Verbascum thapsus	Mullein
Verbascum thapsus	Torches
Verbascum thapsus	Velvet-dock
Viburnum opulus	Crampbark
Viburnum opulus	Guelder rose
Vicia faba	Favabean
Vitex agnus	Chasteberry
Vitex agnus	Chastetree
Vitex agnus	Vitex
Vitis rotundifolia	Fox grape
Vitis rotundifolia	Muscadine
Vitis rotundifolia	Muscadine grape
Vitis vinifera	Common grapevine
Vitis vinifera	European grape
Vitis vinifera	Grape
Vitis vinifera	Grapevine
Yucca filamentosa	Adam's-needle
Yucca filamentosa	Bear-grass
Yucca filamentosa	Needle-palm
Yucca filamentosa	Spoon-leaf yucca
Yucca filamentosa	Yucca
Zanthoxylum clava	Hercules'-club
Zanthoxylum clava	Pepperbark
Zanthoxylum clava	Southern prickly-ash
Zanthoxylum clava	West Indian yellowwood
Zingiber officinale	Ginger
Zingiber officinale	Jiang
Cannabis sativa	Cannibidiol
Cannabis sativa	CBD
Cannabis sativa	Marijuana
Malus domestica	Apple cider vinegar
Malus pumila	Apple cider vinegar
Boswellia serrata	Boswellia
Chlorella vulgaris	Chlorella
Vaccinium macrocarpon	Cranberry
Oenothera biennis	Evening primrose oil
Allium sativum	Garlic
Citrus paradisi	Grapefruit
Nigella sativa	Black cumin
Oryza sativa	Red yeast rice
Senna alexandrina	Senna
Stevia rebaudiana	Stevia
Withania somnifera	Ashwaganda
Withania somnifera	Asgandh
Withania somnifera	Ashwagandha
Withania somnifera	Asvagandha
Withania somnifera	Indian ginseng
Withania somnifera	Winter-cherry
Linum usitatissimum	Flaxseed
Linum usitatissimum	Flax seed
Linum usitatissimum	Flax
Linum usitatissimum	Linseed
Cannabis sativa	Hemp extract
Beta vulgaris	Beet root
Epimedium grandif	Horny goat weed
Epimedium grandiflorum	Horny goat weed
Triticum aestivum	Wheat grass
Ophiocordyceps sinensis	Cordyceps
Cinnamomum cassia	Cinnamon
Glycyrrhiza uralensis	Licorice
Glycyrrhiza inflata	Licorice
Passiflora incarnata	Passion flower
Strychnos ignatii	Ignatia
Taxus baccata	English yew
Houttuynia cordata	Chameleon
Humulus lupulus	Hops
Sterculia urens	Karaya gum
Laminaria japonica	Kombu
Lavandula angustifolia	Lavender
Myristica fragrans	Nutmeg
Panax notoginseng	Notoginseng
Plantago indica	Black psyllium
Plantago ovata	Blond psyllium
Polygala senega	Senegaroot
Papaver somniferum	Opium poppy
Papaver somniferum	Poppy seed
Rehmannia glutinosa	Rehmannia
Salvia officinalis	Sage
Salvia miltiorrhiza	Red sage
Sedum roseum	Rhodiola
Smilax china	Chinaroot
Strychnos nux-vomica	Strychnine tree
Helianthus annuus	Sunflower
